,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Acquired Immunodeficiency Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.518873643999163,3.588582496108034e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28042273731026e-200,0.0,0.0,2.9581579165891137e-22,0.0,0.0,0.0,0.32186626783799455,0.0,0.0,5.232491864647317e-45,1.4878800816203827e-33,4.4482256266164386e-52,0.0,5.497690707445238e-101,0.0,0.0,1.566270381251612e-217,9.248287195121115e-110,0.0,0.0,0.0,0.0,0.04799290534843535,0.0,0.0,0.0,0.0,0.0,0.0,1.935884408972894e-05,2.555185239290071e-34,0.004822732525615256,0.0,7.324876189348615e-26,0.0,1.956751129729234e-170,0.0,0.18289013206958768,0.06485055387020111,0.3982235193252563,0.09750346094369888,-0.008900338783860207,0.43654063344001764,0.036693260073661804,0.4324865341186523,0.09991072118282318,0.2622726857662201,0.2625958919525146,0.4566171765327453,-0.0020313679706305265,-0.0017636939883232112,0.06690597534179688,0.3068063855171204,-0.0019528417615219953,0.1324639171361923,0.071220725774765,0.2854721546173096,0.2354445457458496,0.10117112845182419,0.10362808406352995,0.3712850213050842,0.25548115372657776,0.19882485270500186,0.31839013099670405,0.16853925585746765,0.5028005242347716,0.05561496317386627,0.09852161258459091,0.15799519419670105,0.018752563744783398,0.17497317492961886,0.002553114667534828,0.5510289072990417,0.1243962496519089,0.5056914091110228,0.26047095656394964,0.26938676834106445,0.4002520442008972,-0.015221739187836647,0.37211456894874567,0.054615382105112076,0.45478954911232,0.26794832944869995,0.003711260855197906,0.4494978189468384,-0.01802735403180122,0.41491645574569697,0.5082752108573912,0.22168554365634918,0.484425038099289,0.22743888199329376,0.4231897294521332,0.5018859505653381,0.5417128205299379,0.5188202261924743,0.11892432719469072,0.41127943992614746,0.4691857695579529,0.2483639717102051,0.3386956751346588,0.32825702428817743
Neoplasms,0.4956732293437818,0.056307044811675,0.00027330556753849916,0.0008050671331125956,0.005969457660401759,0.0,0.0017071440490421424,0.031171701712002453,2.2100751901703982e-23,0.0,0.0,0.04467025519141096,0.0,0.0027200978018723913,0.10183891806661718,0.0,0.030662311186775197,0.2415456786651716,0.4486214274618514,0.037350078826828094,5.238127761671662e-06,0.0001635687549943523,0.10044424008797344,0.0,0.00023123099250350695,0.08755233811851007,0.06576185776671008,2.140544256426387e-05,0.0464820637803714,1.5631570749132329,0.09150254078204824,0.05898201324480851,0.003216078996968105,9.324958493793108e-06,0.39483687244381555,0.0,0.0013635264638668719,0.07486090005924985,1.2510092484923918,0.0,0.2947390459050247,0.007384275027706714,0.0,0.0761679605642855,0.10902117897045671,0.0002774378034989879,0.049580955137101534,9.03372485348832e-06,0.0013450518567560635,0.35459852191322533,0.0008043014513946436,0.0,0.0,0.007179446506663354,0.0017860524987447987,0.0711871246522403,0.11421203835872007,0.002711368080455162,0.4066003689388237,0.025506919811743887,0.25782293394499084,0.2095030449778935,0.011279845849800272,0.10332604291692817,-0.014897833578288559,0.005277886986732483,0.07927609235048295,-7.667019963264467e-05,0.41537207365036005,0.1895269453525543,0.08711428940296173,0.3152615427970886,0.01700359582901001,0.1129513531923294,-0.004829392768442632,0.4910663366317748,-2.209357990068384e-05,0.3870762586593628,-0.01928111538290977,0.34397435188293457,-0.02560669183731079,-0.015478404238820074,-0.023413892835378647,0.36253455281257624,-0.015290501527488232,0.1153544783592224,0.22351628541946408,0.39047056436538696,0.3254356682300569,0.27884951233863836,0.32564231753349304,0.020757742226123806,0.4690820574760436,-0.011449092999100685,-0.015560316853225231,-0.0014278002781793475,-0.022656476125121124,-0.006615761667490005,-0.004510453436523676,0.09066120535135268,0.5023000240325928,0.05857511609792709,0.3674418926239014,0.1046498119831085,0.06837169826030731,0.2915722727775574,0.07989965379238129,-0.023792427033185955,0.1264771521091461,0.320237398147583,0.3154071569442749,0.3136398494243622,-0.005471565295010804,0.157252237200737,0.31790417432785034,-0.007139137480407953,0.0560314729809761,0.12574808299541473,0.07146714627742767,0.36626121401786804,0.34673991799354553,0.3675002455711365,-0.017229838296771046,0.493150532245636,0.4455388784408569,0.4193285703659058,-0.0053953537717461595,-0.003856959519907832
Cardiomegaly,9.800108486488604e-40,6.518020296327476e-230,2.5493100504124325e-227,1.0837704103281844e-213,3.978081678196055e-225,0.0,0.0,0.0,0.0,0.02224883736910826,0.0,7.236606968641445e-192,0.0,0.0035186089558308774,0.05435971726867505,0.0,1.0988070260603133e-76,0.0,5.929498961544535e-149,1.1618324891255977e-71,0.0,3.4069327485986104e-149,1.9617699290148433e-305,0.0,3.1534204036598274e-57,4.871484387522569e-139,1.0886231958263643e-23,2.6548425269522714e-50,0.0,5.434198781018666e-09,3.2214375534821464e-36,9.75073737740455e-38,5.131639551926211e-289,0.0,1.7487463544286981e-100,0.0,1.3373462452709426e-17,2.273228723737375e-08,2.5511980454885237e-52,0.0,1.4099521796986735e-28,0.0,0.0,0.17250802886406444,1.4056032650161448e-54,5.015680653654641e-142,1.3864436647349995e-213,0.0,7.70950836756273e-09,0.6950956660679457,4.492071048764881e-98,0.0,0.0,1.2556453061145318e-46,9.670561830750013e-63,0.0,0.027788176755360647,2.3620110107622915e-33,0.2307801234193139,0.011520758862476452,1.5787456455045705e-07,5.253526987049907e-05,1.765631442192585e-06,4.2284716796270174e-42,0.4783813953399658,-0.008019447326660158,0.5526180267333984,-0.0034640387166291475,0.3795250058174133,-0.0041565122082829475,0.6592134237289428,-0.005691124591976404,-0.010444796644151209,-0.0038194933440536256,0.22182497382164,0.08828818798065186,0.6212049126625061,-0.015166549943387507,0.21649868786334991,-0.027114534750580788,0.4660865366458892,0.7615253329277037,0.35417765378952026,-0.02592209354043007,0.4343399405479431,-0.016965314745903015,-0.04523039236664772,-0.0071579976938664905,-0.028090316802263256,0.7102095484733582,-0.024075502529740334,0.1242116093635559,0.16806408762931824,0.15771064162254333,0.740291118621826,0.11631262302398677,0.34834602475166326,0.25101485848426813,0.6860113739967346,0.30731251835823054,-0.011646345257759094,0.14725945889949799,-0.02932801656424999,0.014550469815731047,0.5944271087646484,0.3591975569725037,0.005671363323926926,0.38331714272499084,0.4875111877918243,-0.029976243153214455,-0.02179690636694432,-0.002430842025205493,0.21538501977920527,-0.003834659000858665,0.14212545752525327,0.762869656085968,0.12989535927772522,-0.0011105336016044018,0.03976648673415184,0.2759706079959869,0.25495210289955134,0.15828916430473328,0.7022846937179565,0.044956710189580924,0.2413766533136368,-0.019967565312981602,0.6063600182533263,0.6171789765357971
Stomach Neoplasms,0.4786411693826688,0.06674251623344445,0.05001096691014364,0.00048725864781220266,0.025565404576290307,0.0,0.03749043273028487,0.04834232257112066,0.00012335608899125268,0.036893072483477785,0.0,0.0025937657527177254,0.0,0.100989597036396,0.06333568009713904,0.0,0.006133829653193165,0.06035815128690604,0.31490661019158295,0.03343220569910959,0.0009604912726385046,0.24749140359173608,0.23003004593327261,0.0,0.003818989965588877,0.17017595636549937,0.20316800034487464,3.1721795715051154e-06,0.052110161552618973,0.0016330766929586755,0.18341313797097836,0.11392359119990775,0.007904877070628069,0.0002477679702935607,0.013935439447124847,0.0,0.5851621424471206,1.296454744625793,0.24909331768205345,0.0,0.038218766482838645,0.03752258351766132,0.0,0.04099506932535655,0.23441781896074654,0.36331653937684394,0.0785795150813461,0.0010278565983951964,0.013448440542646715,0.3855815265516566,0.2029383850711897,0.0,0.0,0.006328897705523656,0.47043904479651605,0.04411227016001459,0.19110845961345252,0.7888238608862664,0.30387519592318535,0.03437265597863758,0.48907659408052856,0.1053201710874146,0.0,0.07719067526271377,-0.030094433575868614,0.09959012269973753,-0.007601846009492875,0.08511947095394135,0.2165023982524872,0.3087786436080933,-0.021036859601736065,0.4584433436393738,0.13570198416709905,0.2164180427789688,-0.008262421004474163,0.5657619833946228,-0.028387987986207005,0.5148878097534179,-0.023108830675482746,0.5435208678245544,-0.044360715895891197,-0.04690517857670784,-0.035819150507450104,0.554315745830536,-0.028991231694817543,0.2652464807033539,0.5058633685112001,0.518799901008606,0.522841989994049,0.001650877296924591,0.5235528945922852,0.0489327907562256,0.5250546932220458,-0.012851967476308344,-0.04778404161334038,0.016006544232368466,-0.03501835837960243,-0.011188334785401821,-0.03518786653876305,0.041563257575035095,0.6415300369262696,0.06900031864643097,0.5837887525558472,0.173502504825592,-0.010980335995554926,0.08207635581493378,0.15496084094047546,-0.03744792938232422,0.0038461461663246155,0.5623533725738525,0.4796648621559144,0.4471737146377563,-0.01782416738569736,0.26282757520675654,0.36895996332168574,-0.0365004763007164,0.05483207479119301,0.20444175601005554,0.12067484855651855,0.355748862028122,0.34836047887802124,0.40199863910675043,-0.04420334473252296,0.5848026275634766,0.4488357603549957,0.5853573083877563,-0.02349146269261837,-0.023518672212958332
Multiple Sclerosis,5.300481307025057e-09,0.0,1.9664335277292304e-60,1.168778522965133e-23,8.300176722190157e-226,0.0,4.404449842108661e-22,4.2427506612997375e-07,1.4260360871006584e-05,0.0,0.0,6.270524232109864e-61,0.0,0.0007663177526153861,0.0007521153770835528,0.0,2.4813041659239197e-72,4.777677625686827e-08,1.5839030301202773e-207,8.103701394779317e-17,0.0,8.888790465623406e-39,1.1519256141407395e-112,0.0,5.33170316320758e-156,2.7124814815551237e-18,1.1527496359889717e-30,0.0,3.6405290711242215e-201,5.857735497895409e-17,4.747200947775854e-25,7.728524897563947e-68,1.5934657491034233e-17,3.3454472782879586e-11,1.2050915206841916e-33,0.0,1.8549612995582954e-07,1.2274795612537705e-11,1.1581649745534224e-25,0.0,5.345540711865323e-13,7.307963117897392e-199,0.0,0.25271927427123037,2.5122313438671266e-07,5.754056036241546e-12,0.015838921334021615,2.7736406348738106e-27,2.8878006679725754e-30,0.007015676979107705,9.921632100281986e-28,0.0,0.0,3.9874721993484333e-13,5.095749940331039e-240,9.567576595487727e-260,1.4088896199029326,1.4890033217511075e-19,0.1136156184453287,1.1636980268176624e-07,3.067399110955541e-11,3.786559457276469e-39,3.0760911381085826e-15,6.664831247224737e-08,0.15211294591426847,0.030311726033687595,0.37151566147804255,0.06320424377918243,-0.0037440122105181217,0.39459958672523493,0.06981132179498672,0.3981834053993225,0.0672527253627777,0.2250227332115173,0.2296917736530304,0.4334498643875122,0.013509999960660936,-0.004044465720653534,0.029688287526369095,0.2890769839286804,-0.003105195006355643,0.13807143270969394,0.04383179917931557,0.2693946659564972,0.19831609725952148,0.06529396027326585,0.07001323997974396,0.3524654507637024,0.23627302050590515,0.21679610013961792,0.294308602809906,0.129234179854393,0.4802436828613281,0.02119479142129421,0.109226755797863,0.11514870077371597,0.0005687354132533073,0.1410934180021286,0.025600509718060493,0.5134469866752625,0.09317141771316528,0.4690782725811004,0.2392628788948059,0.2336641103029251,0.3749504387378693,-0.009671471081674099,0.33317762613296503,0.03304874897003174,0.42663976550102234,0.2340932637453079,-0.0027609132230281825,0.4189756512641907,-0.015840869396924976,0.3743792474269866,0.486749529838562,0.21869301795959473,0.4461743235588074,0.19359406828880313,0.3839395344257354,0.4902517497539521,0.5263701677322387,0.4976156353950501,0.1127360537648201,0.388731300830841,0.4580430388450623,0.23167029023170466,0.307268887758255,0.30296692252159113
Glioma,1.2962519098315222,0.022953865561581105,0.20085802633306038,0.0033320074991466156,0.039018933479170334,0.0,0.0011578013253052835,0.005273771927738902,0.0003035969866726315,0.03567268449086995,0.0,0.016791422740276677,0.0,0.0018816925843382394,0.15549119103897044,0.0,0.014778175358140444,0.024770180104017075,0.053322753958297296,0.0644488736533803,0.0001760699139827842,0.009297856330163114,0.010111653040086037,0.0,0.0157248744231439,0.003392347115568669,0.0006199420769813483,0.0006533070612351782,0.05496590587994025,0.0001981829089638857,0.07835907564559698,0.2159077515848995,0.003319318061773997,4.133347739592801e-06,0.020807582184981594,0.0,0.0037968222648554757,0.01139285724911294,0.0005168146450861004,0.0,0.027682519959342934,0.12076122075852913,0.0,0.0148025432681777,0.3284787460771983,0.01563953299744193,0.12998701792478282,1.2643520585195884,0.3351491488320068,0.15077767061432568,0.3296296526193512,0.0,0.0,0.0013044150705437128,0.2833568815164242,0.052382745290112734,0.03948740702907039,0.0003971954541970746,7.153076867474421e-07,0.09268289519318958,0.0,0.020589549884377036,0.18420939406953013,0.02712907667629703,0.09037452191114424,0.4536713063716888,0.06451551616191865,0.4424621760845184,-0.016130656003952026,0.4649648070335388,-0.026891648769378662,0.29378482699394226,0.4650278091430664,0.5072752833366394,0.26483482122421265,0.21552197635173798,-0.028049392625689503,0.41949462890625,0.20790015161037442,0.2711408734321594,-0.0009181426721625031,-0.018931757658720016,0.11997073888778685,0.2743224799633026,0.11902721971273425,0.5181612968444824,0.30565816164016724,0.2501150965690613,0.2569224238395691,-0.015743812546134,0.29419779777526855,0.4555990397930145,0.1767185628414154,0.3377302587032318,-0.019895819947123528,0.4259681701660156,0.10907350480556488,0.27948662638664246,-0.026788268238306042,0.1172044202685356,0.4886411130428314,0.18297062814235687,0.31057161092758173,0.4788010716438292,0.048066601157188416,-0.015280395746231077,0.4191428422927856,0.09785386919975281,0.07561539113521576,0.4226500391960144,0.41542211174964894,0.2202688157558441,-0.0042445105500519284,0.42405298352241527,0.10405027121305464,-0.014004661701619625,0.20216916501522064,0.4861141443252563,0.3360987901687622,0.041467085480689996,0.07148413360118866,0.1512922644615173,-0.010814746841788294,0.2221745699644089,0.09342817217111589,0.2767382562160492,0.07315804064273833,0.029585875570774075
"Cardiomyopathy, Dilated",1.2177414441875874e-10,0.0,0.0,1.1520486480222682e-189,3.6504238042097807e-81,0.0,0.0,0.0,0.0,3.429713929002316e-189,0.0,0.0,0.0,0.0,0.12468767808743753,0.0,0.0,0.006079298497577925,5.854700386266926e-23,0.0,0.0,0.0,9.620819702147791e-161,0.0,0.0,1.9722957060996315e-08,0.0,0.0,0.0,2.33014095169578e-41,1.4167425257837967e-64,0.0,0.0,0.0,9.148493913456444e-15,0.0,3.977164796285097e-160,0.0,2.2029983687188683e-17,0.0,1.9183555454628928e-268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30752300757162e-52,5.919838858219988e-119,0.0,0.0,1.242727501568689e-193,2.3644987265287778e-08,0.7903055280986959,9.269769833890587e-63,4.724860371e-314,0.0,0.0,6.085623965926499e-19,0.0,2.3500975557263266e-09,1.0780030101325348e-06,0.3446056246757508,-0.017550494521856308,0.504630982875824,-0.013273782096803188,0.420642614364624,-0.0067943455651402465,0.6268406510353088,-0.002185440855100751,-0.017962027341127396,-0.009532251395285128,0.1352714896202087,0.14633591473102567,0.5791887640953064,-0.0129801407456398,0.07352866232395171,-0.0189485177397728,0.30577659606933594,0.6494271159172058,0.2011760324239731,-0.017619822174310684,0.3078186511993408,-0.0227300226688385,-0.037510529160499566,-0.0011422887910157442,-0.020419208332896233,0.6981860399246216,-0.017139783129096035,0.003432817757129669,0.2297586351633072,0.007698684930801391,0.6369029879570007,-0.0006729781744070351,0.1978258937597275,0.13617011904716492,0.6102358102798461,0.3089422881603241,-0.009018565528094769,0.15094098448753357,-0.020884364843368527,-0.0048983292654156685,0.5369153022766113,0.3759174048900604,-0.0038257555570453405,0.22757674753665924,0.4690097868442536,-0.024048861116170883,-0.020462844520807266,0.02370721846818924,0.1516525000333786,-0.005965216550976037,0.19440002739429474,0.6650909185409546,0.1161562502384186,-0.007830795831978321,0.007091861218214036,0.3450681269168854,0.3201297223567962,0.20613299310207367,0.5722357630729676,0.10483159869909286,0.31286394596099854,-0.011479215696454048,0.506958544254303,0.5283845663070679
Hepacivirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7889118888879026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4310963451862336,0.025736417621374123,0.4264703691005706,0.07697755843400955,0.4252464175224304,-0.008813092485070227,0.5601089596748351,-0.015521432273089884,-0.0007645361474715173,0.0037186518311500545,0.1796799600124359,-0.006729186978191137,0.5353834629058838,-0.007000839803367853,0.2446646839380264,-0.03331027552485466,0.4948745667934418,0.6386584043502808,0.3729222118854522,-0.032888393849134445,0.3882667422294617,-0.004937126766890287,-0.04591040313243866,-0.018062762916088104,-0.03323833644390106,0.5608066916465759,-0.0300434809178114,0.175807848572731,-0.0004074200987815857,0.2523660361766816,0.6239610314369202,0.1702527701854706,0.3929296135902405,0.2416345179080963,0.6002082824707031,0.2339046001434326,-0.009087532758712769,0.06529757380485535,-0.03580321371555329,0.031158037483692162,0.4669272899627686,0.4514418840408325,-0.00302584539167583,0.42796838283538813,0.3681298792362213,-0.03548436239361763,-0.013222175650298595,-0.014086253009736538,0.31609463691711426,-0.008184248581528662,-7.874221046222374e-05,0.6242690682411194,0.05198167636990547,0.023481473326683044,-0.0014548555482178924,0.09895128756761551,0.08430436253547667,0.009085066616535187,0.6097313761711121,-0.009892696514725683,0.060319855809211724,-0.027924388647079468,0.5145846009254456,0.5216487050056458
Spinocerebellar Ataxias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9975048245289736,0.03639718890190125,-0.01128692366182804,0.3010751903057098,-0.0070577464066445845,0.5821124315261841,0.08655433356761932,0.3643612265586853,0.24304424226284024,-0.01268830057233572,-0.0021357201039791107,-0.002101624850183725,0.428661823272705,0.2643628716468811,0.03636938333511353,-0.013000695966184141,0.16128589212894437,-0.001083200448192656,0.1866109222173691,-0.006269200239330529,0.14494949579238892,0.03884180635213852,-0.0076904050074517736,-0.01467094011604786,0.26630157232284546,0.12242272496223447,0.4924487471580505,0.14832448959350586,-0.004956937860697508,0.4648745656013488,-0.0076034218072891235,0.17013178765773773,-0.006441681180149317,-0.005907453130930662,-0.005162353161722421,0.258918821811676,0.38909003138542175,0.12345778942108156,0.22306622564792639,0.08612821996212006,-0.001412497484125197,0.325908362865448,0.490371584892273,-6.963908526813611e-05,-0.00201439461670816,0.3633353412151337,-0.002624173415824771,-0.002619253238663077,0.292473554611206,0.07768043875694275,0.07117751240730286,0.44195085763931274,0.2640152871608734,0.20156252384185794,-0.0006987773231230677,0.0847431942820549,0.4936137199401856,0.4958088397979736,0.4533714056015015,0.11473406851291655,0.39076471328735357,0.480293333530426,0.149357333779335,0.20178067684173584,0.24710276722908014
Alzheimer Disease,0.003957666709523823,2.657938330719684e-86,4.900208889355558e-62,2.3748796130035483e-05,0.0004204417946617216,0.0,1.280599634222231e-203,1.3797440515728678e-15,4.838655265091537e-65,0.011196474244693723,0.0,0.000745703097791732,0.0,2.8647064454981152e-30,0.026876779475786355,0.0,1.869906960261208e-35,0.6070588247518817,4.886286123744285e-05,1.1468789949677327e-152,0.3939684052178261,0.0003137698933484348,0.00026458987927214074,0.0,5.027580503232817e-33,8.650814809710168e-07,3.232041810138341e-05,3.740540581348873e-37,8.948769473087455e-10,2.154297090327119e-09,0.23738105149834693,2.8637343464605437e-73,5.803507797273973e-08,0.0,0.022144257564905657,0.0,0.9419237823640662,3.3127644609894163e-06,0.09546967358097255,0.0,0.0008253285138986241,7.686538084249627e-05,0.0,5.300991971297817e-150,1.4231912190529406e-06,0.0,2.5453351639278685e-138,1.94066041248651e-06,0.0001809394853358328,0.006800211813314297,6.114429253215818e-28,0.0,0.0,0.8866686631901043,0.6679043613630533,0.027456044462287083,0.0030489624099456014,5.415768570043388e-47,2.9613403260148776e-11,2.8457703889845233e-76,0.8981597767002549,2.3444901805456595e-24,0.12939589550570607,0.0010869684462712398,-0.02062362991273403,-0.02551384642720222,0.11599662899971007,-0.022935478016734127,0.6246656775474548,-0.0017808631528168915,0.3024712204933166,0.2138923406600952,-0.022490331903100014,-0.012717142701148985,-0.018509287387132645,0.4370627999305725,0.20830477774143216,0.1311926394701004,-0.03566956892609596,0.24295984208583835,-0.027349561452865597,-0.0016276935348287227,-0.03336534276604652,0.2443098723888397,-0.022367272526025765,-0.01585623063147068,0.034375488758087165,0.3096141219139099,0.2131288051605225,0.4428678750991821,0.21633216738700864,-0.024118145927786827,0.4638705253601074,-0.03249836713075638,-0.002260725712403655,-0.02614221908152104,-0.030876621603965756,-0.023639766499400135,0.13584905862808228,0.13947549462318418,0.2186685502529144,0.0378996767103672,0.22069245576858523,-0.013804986141622065,0.11777373403310774,0.4793988466262817,-0.011597339995205402,-0.03027459420263767,0.17516523599624634,0.09676070511341095,0.06089742109179496,0.2661373913288116,-0.0015228625852614641,-0.002953109098598361,0.3657371401786804,0.054533064365386956,-0.00011572660878300667,-0.012731720693409443,-0.0073606306686997405,0.4658559858798981,0.4336403608322144,0.37132894992828364,-0.009288023225963117,0.42444795370101923,0.492418497800827,0.28963327407836914,-0.0034394138492643833,0.008095253258943558
