,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
7SK,5.677533989899803e-17,8.01201690272088e-77,1.015574112952468e-47,2.5509451530056844e-56,1.5463160649453528e-08,0.04694624377684105,1.0878385282615357e-158,0.0005622908575350346,3.0644620013706474e-06,0.0,9.053870444170303e-65,3.5038121801013242e-71,4.183867957440728e-74,2.500631366274368e-06,3.175755212062297e-06,1.47392063307e-313,2.081411640511273e-09,8.346982359827995e-08,1.423871525268385e-103,4.147176150178345e-23,2.3295476557560205e-231,2.4438083012888565e-12,2.0885925875669583e-90,0.0,1.3821492903751745e-190,1.110888322327545e-62,4.411412915384541e-270,1.1569434149548014e-10,3.29309123069857e-62,2.7361507459693425e-07,2.2929183065589204e-67,1.413681615379149e-45,4.168033927359291e-242,3.9228758556411355e-14,3.3643680034058454e-07,0.0,1.2284839106600245e-50,1.0612551973386813e-28,5.920025495202512e-21,2.0516911604452454e-67,2.1188798919855957e-08,1.4059244033857086e-14,1.3874110486749351e-106,3.942624267309064e-22,4.729324993860563e-07,4.7889349497334826e-12,3.797249525834351e-07,9.014583609155271e-54,1.680510112417375e-05,8.361335504979186e-23,9.351767236868427e-38,1.0633154245190286e-31,8.010344677801464e-09,5.322883272830466e-39,5.490320267701462e-30,3.469627317659769e-44,1.4536540934041268e-111,0.0,0.5606498246643077,5.952440852622662e-25,1.054665967273497e-43,1.3315102141112207e-29,0.0,3.884045461046757e-180,0.09548821300268173,0.11481452733278273,0.5619398355484008,0.15106159448623654,0.03677196800708771,0.016354165971279144,0.9024597406387328,-0.0006640154751949012,0.056353837251663215,0.10404224693775176,0.131820484995842,0.20354245603084561,0.17271460592746732,0.11058051884174347,0.1758071929216385,-0.006959236692637204,0.04295254498720169,0.6368293762207031,0.9167059659957886,0.31595805287361145,0.4401435852050781,0.4778918027877808,0.006261192262172699,0.21157313883304596,-0.0015153493732213974,0.3239605128765107,0.14211189746856687,-9.015384705435282e-08,0.08057733625173567,0.21216109395027163,0.7326543927192689,-0.00029959829407744104,0.23719556629657745,0.04053466022014617,0.039214640855789185,-0.004550057929009199,0.2051737606525421,0.09481883049011232,-0.0010698266560211776,0.05815574526786805,0.5940833687782286,0.9723364114761353,-0.0016603295225650074,0.04978755861520767,0.3500572443008423,0.2064234316349029,-0.0023923225235193968,0.2711717486381531,0.5839967131614684,-0.0014317128807306288,0.08487609028816223,0.986817717552185,0.9214059710502625,0.22140862047672272,-0.00310704531148076,0.6075270175933838,0.11118830740451811,0.07339932024478912,0.29988884925842285,-0.0037211538292467594,0.24154573678970334,0.13438037037849426,0.16788849234580994,0.9791331887245176
ADAMTS9-AS2,0.07672529184761431,0.016541705768627443,0.0744849991913752,0.03374752496390298,0.01925607612099742,0.05902621901941877,0.1686909331409298,0.01112390255108725,0.015011966609370016,0.010869894025263562,0.05049438453636296,0.0036801368476612716,0.03120327538873061,0.008629358407125764,0.01558476989189712,0.009568392034837284,0.22741726034700338,0.02265968351109768,0.060537324615749656,0.09512449043437293,0.3715738298115942,0.07954665151851215,0.027768874686129916,0.02076344153147025,0.15752535542527327,0.0030533512437016055,0.0901116444152977,0.18332537740755675,0.008135113377246856,0.015776527822405587,0.25473698943613204,0.05298393738148729,0.05847561340521724,0.012918412500032015,0.0011576199876490725,0.002434691617863442,0.03132897296366706,0.012146724412958889,0.08047792176393687,0.025499156675863225,0.16726144525103925,0.025138248444887778,0.005140778382002576,0.00012357379091477628,0.006669952953836888,0.18363862174834328,0.01170486625405177,0.1501439959663789,0.0014275960086745313,0.0944935146776107,0.01046933047752824,0.10751436733062188,0.027019797257534044,0.07781407957724346,0.08095255873798997,0.03535896797573675,0.013483767592346933,0.0233771641672075,0.07984186001874394,0.027319487765733657,0.0006606818573311918,0.025533792735221886,0.0025485227935961147,0.011146900319407783,0.915138065814972,-0.02754086256027222,1.1185810565948486,0.897089421749115,-0.021446935832500454,-0.02312283776700497,0.8824361562728883,-0.04194167628884315,0.8421241641044616,0.060238633304834366,-0.00462467921897769,0.9505169987678528,0.8692240715026854,-0.009691411629319193,0.8489452004432678,0.5835007429122925,0.231167197227478,1.1401450634002686,0.2436387538909912,1.0895400047302246,1.1145379543304446,1.162569046020508,0.6940417289733887,1.0633575916290283,0.696426510810852,1.069303274154663,0.025116663426160802,-8.990331679115116e-08,-0.04432847723364831,0.9874430298805236,-0.00801449455320835,0.6394885182380676,0.8242328763008115,0.7248313426971436,0.8988062739372252,0.6830244660377504,-0.0028212405741214752,-0.025550857186317444,-0.025207150727510445,0.3423889875411988,1.0750874280929563,0.36747041344642634,0.5636175870895386,-0.0245384331792593,1.0524842739105225,0.9215313196182252,0.6943981051445007,1.0170764923095703,-0.032815925776958466,0.7848296165466307,-0.009822628460824488,0.8098411560058593,0.867599368095398,0.9883464574813842,0.370230495929718,1.0389000177383425,-0.047488156706094735,-0.01838441751897335,1.092689037322998,0.6244181990623474,-0.0004512039886321872,-0.017641959711909294,-0.00048214345588348806,0.31017249822616577
ATP6V1G2-DDX39B,0.0,0.0,0.0,2.890497112605524e-168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897278187168876,9.625921121593718e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6540639763596773e-222,0.0,0.0,0.0,0.0,0.0,0.0,4.391590851768249e-30,0.0,0.0,5.576147071425432e-156,0.0,0.012711898580355957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2965828708096003e-273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01725206896662712,0.0872681438922882,0.600987434387207,0.122597835958004,-0.0015832920325919984,-0.004044491332024336,1.0308701992034912,-0.00554061122238636,-0.004448640625923872,0.04992330446839333,0.09037400782108307,0.1841245591640472,0.14605367183685303,0.06168683618307112,0.15864594280719757,-0.01991494558751583,-0.004627031274139881,0.6941529512405396,1.089638590812683,0.29771471023559565,0.4537870287895203,0.4871743321418761,-0.01256594993174076,0.1792032420635223,-0.012926307506859303,0.3108893036842346,0.09605421870946881,-9.052219951399822e-08,0.08673932403326033,0.18690474331378937,0.8982502222061157,-0.010212389752268793,0.23228281736373904,-0.004085475113242865,-0.005989477038383485,-0.017890822142362598,0.2104743421077728,0.06000589206814766,-0.006335832178592681,-0.0027592142578214407,0.6397583484649658,1.1648607254028318,-0.011742650531232357,0.013408079743385315,0.33350905776023865,0.19256724417209625,-0.015431604348123072,0.22432027757167816,0.7401993274688718,-0.013305233791470528,0.03997465223073959,1.1404820680618286,1.0506237745285032,0.20357961952686307,-0.014331178739666937,0.6575057506561279,0.10859674215316771,0.03195237368345261,0.28469863533973694,-0.016448765993118283,0.257889986038208,0.1065448373556137,0.15021257102489471,1.1673929691314695
ATXN8OS,0.09893252560447724,0.04881018926152146,0.04104672733611561,0.012939812648590282,0.018946660998081843,0.0043890268873209,0.0985854361426331,0.05414762602838,0.004380612177390299,0.036678991273792635,0.03922609295962131,0.0062352349525461185,0.0,0.06996168083837084,0.018749410922238183,0.026560111504808918,0.1699051469134549,0.011743575952745035,0.05720052538276733,0.05165142925975687,0.10001413741938718,0.045974731154039675,0.05126455622844107,0.005674039827523327,0.12205717375508003,0.0006683528666515845,0.11121856479583757,0.2806269419308941,0.002398098158928914,0.01418367506666008,0.45416402417644874,0.05015143832016973,0.0303104646792859,0.013815204964148191,0.039780398731120645,0.005624801326834015,0.012352662620568751,0.0016046631341882767,0.002112058728394195,0.02130704058172914,0.11721139044031935,0.049930292260063305,0.000409098986627642,0.0004004750482065676,0.016083043273777856,0.10089012838631932,0.03723546980346969,0.1500379718960771,0.0024895472571063036,0.2755546797740547,0.014976968408511867,0.1642705427647797,0.042195619090469406,0.014219556138369116,0.058776208520696434,0.007558098840066679,0.029806667275422166,0.03975869071808709,0.055240223264709586,0.020218474119551515,0.0008768983391246814,0.0879790762788663,0.0006820796573275406,0.06418332127338976,0.8943443894386292,-0.02202141471207142,1.1945599317550657,0.8824667930603027,-0.01872682198882103,-0.020774109289050106,1.0487006902694702,-0.03944632411003113,0.8089696764945984,0.08966264128684996,-0.00015522092871833593,0.9447445273399354,0.8562524318695068,-0.005837408360093832,0.8389564156532286,0.5294710397720337,0.22879216074943545,1.2261859178543093,0.44955828785896307,1.1065903902053833,1.1584372520446775,1.2193586826324463,0.6570554375648499,1.0584213733673096,0.6597400307655334,1.0917556285858152,0.06761691719293594,-8.985483646029024e-08,-0.03824712336063385,0.9830894470214844,0.09312012791633605,0.6031643748283386,0.8272147178649902,0.6933122873306273,0.8627588152885437,0.6302618980407715,0.044699892401695245,-0.021178627386689183,-0.02331309765577316,0.34129661321640015,1.1541512012481687,0.5839660167694092,0.5274716019630432,-0.021042624488472935,1.0885512828826904,0.9178188443183898,0.6480376720428466,1.0302110910415647,-0.019291821867227558,0.7418083548545837,-0.006408742163330317,1.005511999130249,1.0396994352340698,0.9822459220886232,0.34095779061317444,1.1164278984069824,-0.04078498110175133,-0.014755750074982643,1.1000679731369019,0.5790013670921326,0.07771299034357071,-0.012240453623235224,0.051977913826704025,0.5360126495361328
BACE1-AS,0.049517052723579986,0.0482127316545547,0.03414985780312155,0.06773834008781543,0.15097874075497422,0.08226536777247385,0.016077957840039347,0.0007319051383725356,0.0056732996900712976,0.05726608800738806,0.0,0.09169397010512459,0.039395274525274165,0.052146893959483916,0.055765030165212046,0.2286946810527294,0.10226436120816321,0.017789558107867035,0.06267188706923948,0.09122806827979123,0.28961050056080057,0.49996383358668023,0.01865500445534227,0.04609762667637366,0.01060008360751923,0.07082926553219393,0.09795875745884493,0.023871923571269108,0.060186213223253224,0.0417374073127511,0.1114866916096402,0.0,0.022111173300939306,0.0041340648690826685,0.011874536466265321,0.010841334286048599,0.10609595291369533,0.03744245605590217,0.03755432893715187,0.009744037766343909,0.046983547357139534,0.0027078230926107596,0.09481034729502606,0.027745739514783346,0.012630212243119198,0.16506046143531253,0.012561791082455524,0.010478979407817713,0.33490299342755137,0.035555812236659025,0.03786098775790211,0.006269059653795412,0.04442151431427517,0.1658502956792773,0.865280211139411,0.037556613090887724,0.018104144822608893,0.00607093467111582,0.06823040998014515,0.028213623053115658,0.03172601832926011,0.05460596899695063,0.06404860403497574,0.008953206810048167,0.4757888317108154,0.2118652909994125,0.34830936789512634,0.26517224311828613,0.2576643228530883,0.2527792155742645,0.22730027139186856,0.16893883049488068,0.4655796289443969,0.3426843881607056,0.3242553472518921,0.13728730380535123,0.22423002123832705,0.27519965171813965,0.15428653359413144,0.5485140085220337,0.4427691698074341,0.3224795460700989,0.02519623935222626,0.3108631074428558,0.2974700331687927,0.35042384266853327,0.6102443933486938,0.2996169924736023,0.5287249088287354,0.3190961480140686,0.3368991315364838,-8.870660650472928e-08,0.06862545758485793,0.2661495208740234,-0.008101102896034716,0.4969526529312134,0.21727880835533145,0.4458845555782318,0.5001230239868164,0.5890468955039977,0.2100847065448761,0.19458805024623874,0.21572507917881006,0.4632671177387237,0.29770803451538086,0.042835801839828484,0.4904205203056336,0.20961314439773562,0.3974832594394684,0.11348222196102142,0.5686240792274475,0.452537328004837,-0.007567408960312607,0.5757325291633606,0.2921087443828583,0.18387411534786224,0.22612728178501126,0.17163768410682678,0.4915519058704376,0.2890032827854156,0.0554548017680645,0.2586200535297393,0.2992497384548187,0.5619790554046631,0.19115900993347168,0.23290348052978516,0.2622295916080475,0.04511795192956925
BANCR,0.022499958516846934,0.004440261838563761,0.0028562968640758447,0.028339614987275802,0.020929675363480442,0.11968178273589979,0.12933487827792783,0.088969241230077,0.23716698406242984,0.0023016527620984416,0.026986199039536606,0.079335919580342,0.008268122329360713,0.000897700721238134,0.14688412903766532,0.004455875402865037,0.06819709015862302,0.004104652947574751,0.042362077247821726,0.015529827171799493,0.09967948147317762,0.06405839491098607,0.05987640602322874,0.010578816467717859,0.06136272164672418,0.10292269096797643,0.04187712586218373,0.19856239585038704,0.016703891899724245,0.046717889164071755,0.1307168953683661,0.0772237052164276,0.17706335858008743,0.028058117471382333,0.13554585876421213,0.003316228931334445,0.11695135583533132,0.2758407264348989,0.16906219106833112,0.0728321401658485,0.06430971023218103,0.049028003094924076,0.05076607074917966,0.018884527075655085,0.005128983233927864,0.10585810101992046,0.012661905584409926,0.12416888789227025,0.1936509156561376,0.09549395626112617,0.04108115485098939,0.0903682649768715,0.03820991795605309,0.0344635433218443,0.09634627624747882,0.002311797329341332,0.03038099014007314,0.02041372682534912,0.018744446084240318,0.05768617615278007,0.028628216937491194,0.025568955752147852,1.297245058867748,0.017164453360346797,0.37350612878799433,0.5499781370162963,0.12935391068458557,0.10539986938238145,0.5907379984855652,0.5876131653785704,0.06082836538553237,0.5415171384811401,0.4047133922576904,0.5816869735717773,0.6218278408050537,-0.008796193636953829,0.06140577420592309,0.5547941327095032,-0.005605499725788832,0.6117334365844727,0.6516788005828859,0.0907738208770752,0.017755180597305298,0.120611310005188,0.08378148823976515,0.12849020957946775,0.6483668088912964,0.0984770655632019,0.5233132839202881,0.13339239358901975,0.5951825976371764,-8.809887219740631e-08,0.38190653920173645,0.06711738556623459,-0.005244019906967878,0.4783134162425994,0.06562259793281555,0.3710054457187653,0.4067181348800659,0.6312263607978821,0.435466468334198,0.4839571118354797,0.5440857410430908,0.6084998250007629,0.09055182337760924,-4.774332046508788e-05,0.5164060592651368,0.5110822916030884,0.23972007632255554,-0.01052790880203247,0.5834534764289856,0.3080678880214691,0.05034583806991577,0.5559277534484863,0.5927524566650391,0.03454291820526124,0.06811393797397615,-0.004362323321402073,0.6432207226753234,0.08159288018941879,0.39750504493713373,0.5625342130661011,0.0668075904250145,0.6016146540641784,0.3972872793674469,0.5257098078727722,0.476328432559967,0.02059999108314514
BCAR4,0.17737140067770335,0.047305976275116866,0.11374849210965957,0.08777658960303701,0.19110781656718584,0.0654106303126747,0.12792712141896598,0.08640221994515869,0.042493454415025354,0.046591805413875954,0.015570849495167802,0.10275878045775527,0.10535482602770965,0.17628550301321685,0.04356530265164948,0.13232458011406983,0.1621426108471684,0.10030465035951448,0.06854976550153817,0.10099466697299085,0.08677390985571937,0.045771609226044854,0.040342802753446906,0.11345509985382604,0.02829586525940624,0.029698023333885656,0.017068672408831285,0.1000732830444724,0.022706569953680592,0.21738382494515357,0.018477289303325473,0.06340517564418896,0.024961105311449662,0.1063373279517182,0.0038827591544297996,0.0393223202508799,0.049480747706907365,0.032858859877680634,0.039332402716317647,0.027216615011391304,0.11511839946310838,0.14124927553865546,0.11168029860894149,0.02015313424539106,0.07712077336009432,0.07734597216262441,0.07768063264731782,0.15718972271987167,0.15583280305980823,0.16148686330113424,0.059154866056086226,0.034851892165821644,0.14474023447044113,0.11604268415925936,0.007406845160084183,0.09113667680653109,0.04730989316731443,0.10565622241372731,0.29893326677528625,0.028464169962755945,0.08351198720660334,0.0718899096577132,0.04617568787971658,0.006818805597681006,0.5306148529052735,0.32111436128616333,0.3250026404857636,0.2768036127090454,0.3781698048114777,0.3751938045024871,0.1682267636060715,0.2918740510940552,0.5381370782852173,0.45028266310691833,0.4388629198074341,0.13066345453262326,0.2312330901622772,0.3857342600822449,0.13938671350479126,0.6572964191436768,0.5636956691741943,0.28604209423065186,-0.003930452745407821,0.32236045598983765,0.2898145914077758,0.3455545306205749,0.7234485149383546,0.313258022069931,0.6217927932739258,0.33036142587661743,0.44587111473083496,-8.821648833645669e-08,0.1458777189254761,0.2718861103057861,-0.015338549390435222,0.5707108974456787,0.21376025676727292,0.4998928904533385,0.5668559670448303,0.7012737393379213,0.2845308780670166,0.2953931987285614,0.3320134282112121,0.5699109435081481,0.2751806378364563,-0.0037088841199874882,0.5760800838470458,0.3147432208061218,0.4178957641124724,0.10890749096870422,0.6736015677452089,0.4934994280338287,-0.013903120532631876,0.6677138805389404,0.40396407246589666,0.11727418750524522,0.17022988200187683,0.1677723526954651,0.6102504730224609,0.25876772403717035,0.14795193076133728,0.3656737506389618,0.2921169400215149,0.6674867868423461,0.2560965418815613,0.3362117409706116,0.34519413113594055,-0.0025091157294809814
BCYRN1,0.030423387126542342,0.008615035477383454,0.14639801315963843,0.07755516620931392,0.0005563962580550537,0.050849398777184654,0.1921110681814534,0.012837684231711813,0.04196521129955272,0.009345667256563885,0.0043830827082801,0.018446810965601627,0.01045057060939334,0.024703933616186887,0.006600807292616651,0.0009512667809601384,0.016225985174362176,0.0058498156856329345,0.6172181291870064,0.0011270453694409682,0.029849863327081283,0.00734487858598696,0.004419713067941092,0.020861833330106428,0.020865621647813005,0.09507613450519782,0.4003897424589126,0.07997725901994164,0.036319795101034495,0.0019181573618921423,0.003463241714026432,0.03940941963823435,0.05686860149129956,0.0019598458646456125,0.009065361193222569,0.00035425180341464274,0.03127637242090852,0.20809713211813735,0.244384953184615,0.03877390773293923,0.01446506214158734,0.0238958642896892,0.0033078419598378725,0.1081483747326011,0.37082005105149984,0.06328763403875706,0.004954733111824068,0.024994009870158814,0.046265450813961204,0.011417781917713839,0.0018994231938511223,0.04049593473344908,0.0004698040378288602,0.005539268815638328,0.040601859477383685,0.0,1.172636255259189,0.021451956604139875,0.048433261963519735,0.06510307881502339,0.0020996310716766115,0.04461891776172904,1.096836342310618,0.0434647640919846,0.13717637956142423,0.17488135397434232,0.26510173082351685,0.07461962103843689,0.1619182527065277,0.14913807809352872,0.3994226455688477,0.122018501162529,0.10617391765117645,0.19321347773075104,0.21702300012111664,-0.0011617018608376384,0.05695648863911629,0.1702372282743454,0.018475396558642384,0.15132397413253784,0.19415655732154846,0.29158014059066767,0.3978631496429443,0.1236286237835884,0.17534315586090088,0.19820226728916168,0.18091282248497007,0.07184550166130065,0.1337035596370697,0.13664351403713226,0.20923063158988953,-8.965299969077024e-08,0.1244766488671303,0.07125965505838394,0.32519167661666876,0.1523860394954681,0.10476168990135194,0.13163135945796967,0.11879529058933258,0.16583982110023499,0.19165369868278503,0.14806270599365234,0.1237728074193001,0.19410377740859985,0.26094806194305414,0.42939814925193787,0.1538535952568054,0.14605143666267395,0.1876705288887024,-0.0016602588584646583,0.1487096399068832,0.18302862346172327,0.34997937083244324,0.1553487926721573,0.18800148367881772,0.4240962862968445,0.40413606166839605,0.023816578090190887,0.16778849065303802,0.2729706168174744,0.11478449404239655,0.1747291088104248,0.11787363886833192,0.1563205122947693,0.19465236365795133,0.17568683624267578,0.19082912802696228,0.4274415969848633
BDNF-AS,0.09209078695807266,0.38262704587935503,0.035655026518916756,0.09723916668820559,1.544086120230204,0.012996163637726136,0.024814755871612124,0.00036941256931756277,0.032203373570280115,0.0011650431553146853,0.006537096090130928,0.02871016481088615,0.006561744912791018,0.025533584447486178,0.014488123931476346,0.025856984766314116,0.03242951403185483,0.03828037480424978,0.04109800359202001,0.21397339367967877,0.01869073472051024,0.09595685834698807,0.04517337080108922,0.0020581133729379282,0.0019100785061995631,0.0024215848451319354,0.05669721712167825,0.11437108897801308,0.013200560579081365,0.09028461616949718,0.15140259318216914,0.006480248734403182,0.0367708650819837,0.13998782351742092,0.15830847297645645,0.10573994298973599,0.02028805439919397,0.021875801999429633,0.10798502296075688,0.02734409453789858,0.02505375612565768,0.04209219664672168,0.04568758444378279,0.001192126521960653,0.05738736157767689,0.13558580601956674,0.025382319392877283,0.19154450564812012,0.23700011415972314,0.16129290600718119,0.03809349918094561,0.0035608831356718678,0.047732586264823504,0.03869744221839814,0.05646828665698877,0.021420692939606877,0.005220289294307204,0.17116917931979117,0.00518179830024157,0.004761354775809036,0.03143853213762895,0.01530131739274259,0.051036224974924466,0.005694278742186184,0.367416262626648,0.2337512820959091,0.20736017823219294,0.1678717732429504,0.2795958518981933,0.27785104513168335,0.10201954841613768,0.214466854929924,0.3676331639289856,0.3302205502986908,0.3234363794326782,0.019973266869783398,0.12677171826362607,0.2770555913448334,0.05181719362735748,0.4919386506080627,0.41893094778060913,0.18366749584674835,-0.0032297521829605107,0.17866358160972595,0.16162110865116122,0.19945688545703888,0.529163897037506,0.17422768473625186,0.4447779357433319,0.1886249929666519,0.32503837347030645,-8.893046299363051e-08,0.1146894171833992,0.1489390730857849,-0.009265881963074207,0.428055316209793,0.12685742974281314,0.3648406565189362,0.39415174722671514,0.517881989479065,0.1974299848079681,0.21415795385837555,0.24395614862442014,0.42255824804306036,0.16465865075588226,-0.0028125734534114604,0.43133011460304255,0.23164454102516174,0.2663496732711792,-9.940005838871002e-05,0.4897561371326447,0.3301568329334259,-0.0032169669866561885,0.4896439015865325,0.29918372631073,0.06133271008729936,0.10073062777519225,0.05406911298632621,0.4565452039241791,0.1619470864534378,0.0944319814443588,0.2758648097515106,0.17183348536491394,0.4935696423053741,0.17443583905696866,0.24082139134407046,0.2492525577545166,-0.00260549341328442
BOK-AS1,0.447767342110028,0.06699482084048337,0.06983733847008668,0.02293090880460374,0.004358294888051387,0.29331976688754885,0.056468258014518206,0.03591377621685701,0.02846364393477208,0.16894343449728808,0.06440921648653025,0.9562322762327115,0.0009948845715573302,0.0064077921522500605,0.017216408664482114,0.006093478319603022,0.05869816344024028,0.028757360184370515,0.10016017757344367,0.07692923577046878,0.13357267023759725,0.013579506945210356,0.0494573416951267,0.09421366490706878,0.04132141645220938,0.007422672933731169,0.024955056589644548,0.13992404315244028,0.021819293448018563,0.09761269121890766,0.2528823420434932,0.08997790526057992,0.04309164158765386,0.03284620144856025,0.012182215316379162,0.004136058677236665,0.024804046624053566,0.04995250373263865,0.060796219211749214,0.016627838610697387,0.012550053683429882,0.01509583081503671,0.0044544858159031465,0.0006180871713641011,0.14068452719639393,0.15341416282832482,0.02446122800171532,0.028853968623318384,0.0007666566756600609,0.10581843599387672,0.0021277763576629284,0.10901338396301796,0.008504963536541722,0.006815276011102317,0.08852288996794706,0.054759004667499486,0.02759236853590188,0.08864808179205093,0.018369974980300074,0.07727619959061884,0.0013604645872005365,0.09507759418244978,0.013833471787068344,0.09513827838509417,0.39456847310066223,0.15031850337982175,0.5774355530738831,0.3286736607551575,0.14075696468353271,0.12390048801898958,0.6462863683700562,0.04559350758790969,0.34020042419433594,0.23986583948135376,0.24421949684619906,0.2637020349502563,0.29798504710197443,0.1810070872306824,0.2522734403610229,0.3010302186012268,0.2711918652057648,0.6028267741203308,0.4781259596347809,0.43403479456901556,0.4926917552947999,0.5328254699707032,0.36692541837692255,0.3805030286312103,0.3294066488742828,0.4453125,0.2520912289619446,-8.957798769415602e-08,0.057253718376159675,0.351533979177475,0.29934313893318176,0.3126166760921478,0.32874476909637446,0.3177812099456787,0.3684073388576508,0.34196364879608154,0.2398515343666077,0.10805746912956236,0.09695272147655487,0.29974377155303955,0.554664671421051,0.5484846234321594,0.3004586696624756,0.11847156286239625,0.4915304481983185,0.25289162993431086,0.33170413970947266,0.46329265832901,0.22830335795879364,0.3695929944515228,0.19987651705741882,0.6582502126693724,0.6487019062042236,0.30448997020721436,0.272984653711319,0.544873833656311,0.03846516087651253,0.16092976927757266,0.4150623083114624,0.32107660174369806,0.2510225176811218,0.1740027517080307,0.2308587431907654,0.5350608229637146
